schemeCode,schemeName,isinGrowth,isinDivReinvestment
107578,Mirae Asset Large Cap Fund - Regular Plan - Growth,INF769K01010,
107579,Mirae Asset Large Cap Fund - Regular Plan - IDCW,INF769K01036,INF769K01028
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,
118826,Mirae Asset Large Cap Fund - Direct Plan - IDCW,INF769K01AY0,INF769K01AZ7
